股票代码,股票名称,拼音简写
000973.SZ,佛塑科技,['FSKJ']
000975.SZ,银泰资源,['YTZY']
000976.SZ,春晖股份,['CHGF']
000977.SZ,浪潮信息,['LCXX']
000978.SZ,桂林旅游,['GLLY']
000979.SZ,中弘股份,['ZHGF']
000980.SZ,金马股份,['JMGF']
000981.SZ,银亿股份,['YYGF']
000982.SZ,中银绒业,['ZYRY']
000983.SZ,西山煤电,['XSMD']
000985.SZ,大庆华科,['DQHK']
000987.SZ,广州友谊,"['AZYY', 'GZYY']"
000988.SZ,华工科技,['HGKJ']
000989.SZ,九芝堂,['JZT']
000990.SZ,诚志股份,['CZGF']
000993.SZ,闽东电力,['MDDL']
000995.SZ,*ST皇台,['*STHT']
000996.SZ,中国中期,"['ZGZJ', 'ZGZQ']"
000997.SZ,新大陆,['XDL']
000998.SZ,隆平高科,['LPGK']
000999.SZ,华润三九,['HRSJ']
001696.SZ,宗申动力,['ZSDL']
001896.SZ,豫能控股,['YNKG']
001979.SZ,招商蛇口,"['ZSSK', 'ZSYK']"
002001.SZ,新和成,['XHC']
002002.SZ,鸿达兴业,['HDXY']
002003.SZ,伟星股份,['WXGF']
002004.SZ,华邦健康,['HBJK']
002005.SZ,德豪润达,['DHRD']
002006.SZ,精功科技,['JGKJ']
002007.SZ,华兰生物,['HLSW']
002008.SZ,大族激光,['DZJG']
002009.SZ,天奇股份,"['TJGF', 'TQGF']"
002010.SZ,传化股份,"['CHGF', 'ZHGF']"
002011.SZ,盾安环境,['DAHJ']
002012.SZ,凯恩股份,['KEGF']
002013.SZ,中航机电,['ZHJD']
002014.SZ,永新股份,['YXGF']
002015.SZ,霞客环保,['XKHB']
002016.SZ,世荣兆业,['SRZY']
002017.SZ,东信和平,['DXHP']
002018.SZ,华信国际,['HXGJ']
002019.SZ,亿帆鑫富,['YFXF']
002020.SZ,京新药业,['JXYY']
002021.SZ,中捷资源,['ZJZY']
002022.SZ,科华生物,['KHSW']
002023.SZ,海特高新,['HTGX']
002024.SZ,苏宁云商,['SNYS']
002025.SZ,航天电器,['HTDQ']
002026.SZ,山东威达,['SDWD']
002027.SZ,分众传媒,"['FZCM', 'FZZM']"
002028.SZ,思源电气,['SYDQ']
002029.SZ,七匹狼,"['QPL', 'QYL']"
002030.SZ,达安基因,['DAJY']
002031.SZ,巨轮智能,['JLZN']
002032.SZ,苏泊尔,"['SBE', 'SPE']"
002033.SZ,丽江旅游,['LJLY']
002034.SZ,美欣达,['MXD']
002035.SZ,华帝股份,['HDGF']
002036.SZ,联创电子,['LCDZ']
002037.SZ,久联发展,['JLFZ']
002038.SZ,双鹭药业,['SLYY']
002039.SZ,黔源电力,['QYDL']
002040.SZ,南京港,['NJG']
002041.SZ,登海种业,"['DHCY', 'DHZY']"
002042.SZ,华孚色纺,['HFSF']
002043.SZ,兔宝宝,['TBB']
002044.SZ,美年健康,['MNJK']
002045.SZ,国光电器,['GGDQ']
002046.SZ,轴研科技,['ZYKJ']
002047.SZ,宝鹰股份,['BYGF']
002048.SZ,宁波华翔,['NBHX']
002049.SZ,同方国芯,['TFGX']
002050.SZ,三花股份,['SHGF']
002051.SZ,中工国际,['ZGGJ']
002052.SZ,同洲电子,['TZDZ']
002053.SZ,云南盐化,['YNYH']
002054.SZ,德美化工,['DMHG']
002055.SZ,得润电子,['DRDZ']
002056.SZ,横店东磁,['HDDC']
002057.SZ,中钢天源,['ZGTY']
002058.SZ,威尔泰,['WET']
002059.SZ,云南旅游,['YNLY']
002060.SZ,粤水电,['YSD']
002061.SZ,*ST江化,['*STJH']
002062.SZ,宏润建设,['HRJS']
002063.SZ,远光软件,['YGRJ']
002064.SZ,华峰氨纶,"['HFAG', 'HFAL']"
002065.SZ,东华软件,['DHRJ']
002066.SZ,瑞泰科技,['RTKJ']
002067.SZ,景兴纸业,['JXZY']
002068.SZ,黑猫股份,['HMGF']
002069.SZ,*ST獐岛,['*STZD']
002070.SZ,众和股份,['ZHGF']
002071.SZ,长城影视,"['CCYS', 'ZCYS']"
002072.SZ,凯瑞德,['KRD']
002073.SZ,软控股份,['RKGF']
002074.SZ,国轩高科,['GXGK']
002075.SZ,沙钢股份,['SGGF']
002076.SZ,雪莱特,['XLT']
002077.SZ,大港股份,['DGGF']
002078.SZ,太阳纸业,['TYZY']
002079.SZ,苏州固锝,['SZGD']
002080.SZ,中材科技,['ZCKJ']
002081.SZ,金螳螂,['JTL']
002082.SZ,栋梁新材,['DLXC']
002083.SZ,孚日股份,['FRGF']
002084.SZ,海鸥卫浴,['HOWY']
002085.SZ,万丰奥威,"['MFAW', 'WFAW']"
002086.SZ,东方海洋,['DFHY']
002087.SZ,新野纺织,['XYFZ']
002088.SZ,鲁阳节能,['LYJN']
002089.SZ,新海宜,['XHY']
002090.SZ,金智科技,['JZKJ']
002091.SZ,江苏国泰,['JSGT']
002092.SZ,中泰化学,['ZTHX']
002093.SZ,国脉科技,['GMKJ']
002094.SZ,青岛金王,['QDJW']
002095.SZ,生意宝,['SYB']
002096.SZ,南岭民爆,['NLMB']
002097.SZ,山河智能,['SHZN']
002098.SZ,浔兴股份,['XXGF']
002099.SZ,海翔药业,['HXYY']
002100.SZ,天康生物,['TKSW']
002101.SZ,广东鸿图,"['ADHT', 'GDHT']"
002102.SZ,冠福股份,['GFGF']
002103.SZ,广博股份,"['ABGF', 'GBGF']"
002104.SZ,恒宝股份,['HBGF']
002105.SZ,信隆实业,['XLSY']
002106.SZ,莱宝高科,['LBGK']
002107.SZ,沃华医药,['WHYY']
002108.SZ,沧州明珠,['CZMZ']
002109.SZ,*ST兴化,['*STXH']
002110.SZ,三钢闽光,['SGMG']
002111.SZ,威海广泰,"['WHAT', 'WHGT']"
002112.SZ,三变科技,['SBKJ']
002113.SZ,天润控股,['TRKG']
002114.SZ,罗平锌电,['LPXD']
002115.SZ,三维通信,['SWTX']
002116.SZ,中国海诚,['ZGHC']
002117.SZ,东港股份,['DGGF']
002118.SZ,紫鑫药业,['ZXYY']
002119.SZ,康强电子,"['KJDZ', 'KQDZ']"
002120.SZ,新海股份,['XHGF']
002121.SZ,科陆电子,['KLDZ']
002122.SZ,天马股份,['TMGF']
002123.SZ,荣信股份,['RXGF']
002124.SZ,天邦股份,['TBGF']
002125.SZ,湘潭电化,['XTDH']
002126.SZ,银轮股份,['YLGF']
002127.SZ,南极电商,['NJDS']
002128.SZ,露天煤业,['LTMY']
002129.SZ,中环股份,['ZHGF']
002130.SZ,沃尔核材,['WEHC']
002131.SZ,利欧股份,['LOGF']
002132.SZ,恒星科技,['HXKJ']
002133.SZ,广宇集团,"['AYJT', 'GYJT']"
002134.SZ,天津普林,['TJPL']
002135.SZ,东南网架,['DNWJ']
002136.SZ,安纳达,['AND']
002137.SZ,麦达数字,['MDSZ']
002138.SZ,顺络电子,['SLDZ']
002139.SZ,拓邦股份,['TBGF']
002140.SZ,东华科技,['DHKJ']
002141.SZ,蓉胜超微,['RSCW']
002142.SZ,宁波银行,"['NBYH', 'NBYX']"
002143.SZ,印纪传媒,"['YJCM', 'YJZM']"
002144.SZ,宏达高科,['HDGK']
002145.SZ,中核钛白,['ZHTB']
002146.SZ,荣盛发展,"['RCFZ', 'RSFZ']"
002147.SZ,新光圆成,['XGYC']
002148.SZ,北纬通信,['BWTX']
002149.SZ,西部材料,['XBCL']
002150.SZ,通润装备,['TRZB']
002151.SZ,北斗星通,['BDXT']
002152.SZ,广电运通,"['ADYT', 'GDYT']"
002153.SZ,石基信息,"['DJXX', 'SJXX']"
002154.SZ,报喜鸟,"['BXD', 'BXN']"
002155.SZ,湖南黄金,['HNHJ']
002156.SZ,通富微电,['TFWD']
002157.SZ,正邦科技,['ZBKJ']
002158.SZ,汉钟精机,['HZJJ']
002159.SZ,三特索道,['STSD']
002160.SZ,常铝股份,['CLGF']
002161.SZ,远望谷,"['YWG', 'YWY']"
002162.SZ,悦心健康,['YXJK']
002163.SZ,中航三鑫,['ZHSX']
002164.SZ,宁波东力,['NBDL']
002165.SZ,红宝丽,"['GBL', 'HBL']"
002166.SZ,莱茵生物,['LYSW']
002167.SZ,东方锆业,['DFGY']
002168.SZ,深圳惠程,['SZHC']
002169.SZ,智光电气,['ZGDQ']
002170.SZ,芭田股份,['BTGF']
002171.SZ,楚江新材,['CJXC']
002172.SZ,澳洋科技,['AYKJ']
002173.SZ,*ST千足,['*STQZ']
002174.SZ,游族网络,['YZWL']
002175.SZ,东方网络,['DFWL']
002176.SZ,江特电机,['JTDJ']
002177.SZ,御银股份,['YYGF']
002178.SZ,延华智能,['YHZN']
002179.SZ,中航光电,['ZHGD']
002180.SZ,艾派克,"['APK', 'YPK']"
002181.SZ,粤传媒,"['YCM', 'YZM']"
